DODAAC,DESCRIPTION,Model #,PART #,NSN,Quantity,,,,,,,,,,,,,,,
N00060,APC Smart-UPS RM 3000,DLA3000RM2U,,5999,1,,,,,,,,,,,,,,,
N00060,Console - Power Edge Rack Console 15FP,,GK545,5999,2,,,,,,,,,,,,,,,
N00060,DELL LATTITUDE E6430 ATG LAPTOP,E6430 ATG,XNWW2,5999,1,,,,,,,,,,,,,,,
N00060,HP Proliant DL380 (USSMiner),HSINS-1023,,5999,2,,,,,,,,,,,,,,,
N00060,HP Proliant DL380 (USSMountie),HSTNS-5141,,5999,1,,,,,,,,,,,,,,,
N00060,Dell Optiplex,DC8M,,5999,2,,,,,,,,,,,,,,,
N00060,APC Smart-UPS RT 1500,SMT1500RM2U,,5999,2,,,,,,,,,,,,,,,
N00060,Dell PowerEdge 2950,,,5999,3,,,,,,,,,,,,,,,
N00060,APC Smart UPS 3000,,,5999,1,,,,,,,,,,,,,,,
N00060,Dell Tape Backup - Power Vault 114T,0YH245,,5999,1,,,,,,,,,,,,,,,
N00060,Server Rack (Cage) 42U,,,5999,3,,,,,,,,,,,,,,,
N00060,Cisco PIX Firewall and Rack Mount (515E),PIX-501E-4900-02-2224(A),,5999,1,,,,,,,,,,,,,,,
N00060,HP DL380P GEN 8,,653200-B21,5999,3,,,,,,,,,,,,,,,
N00060,HP DL380P GEN 7,,583914-B21,5999,1,,,,,,,,,,,,,,,
N00060,HP P2000 SAN (hard drive array),,AP837A,5999,1,,,,,,,,,,,,,,,
N00060,HP P2000 SAN (hard drive array),,BK829A,5999,1,,,,,,,,,,,,,,,
N00060,HP PROCURVE SWITCH (HP 2910-24G al Switch),,J9145A,5999,4,,,,,,,,,,,,,,,
N00060,HP ASSEMBLY RACK 542,,660502,5999,1,,,,,,,,,,,,,,,
N00060,HP UPS (R1500 G2 or G3?),,AF465A,5999,2,,,,,,,,,,,,,,,
N00060,APC UPS (possibly APC Smart UPS 3000VA RM),,AF465A,5999,2,,,,,,,,,,,,,,,
N00060,HPQ QPT 2352 2.1 GHZ 2MB QA PROC BL465C, ,445575-B21,5999,3,,,,,,,,,,,,,,,
N00060,HPQ UPS R5500 220V RM 5500VA 4500W ROHS,R5500-XR,AF426A,5999,4,,,,,,,,,,,,,,,
N00060,BLADE SERVER POWER SUPPLY,HSTN8-PR09,398026-001,5999,12,,,,,,,,,,,,,,,
N00060,HP BLADESYSTEM - C7000 ENCLOSURE,,403321-B22,5999,2,,,,,,,,,,,,,,,
N00060,APC REDUNDANT SWITCH,SU042-2,,5999,2,,,,,,,,,,,,,,,
N00060,APC REDUNDANT SWITCH,SU042-2,,5999,1,,,,,,,,,,,,,,,
N00060,HPQ CISCO SWITCH SYSTEM,,410916-B21,5999,2,,,,,,,,,,,,,,,
N00060,SERVER RACK I/O INTERFACE CARD ,HSTNS-BC05,,5999,1,,,,,,,,,,,,,,,
N00060,HP Power supply HSTNS-PR01 series,ATSN 7001044-Y000,379124-001,5999,2,,,,,,,,,,,,,,,
N00060,DELL Power supply ,N750P-S0,,5999,3,,,,,,,,,,,,,,,
N00060,DELL Power Supply,7001072-Y001,,5999,4,,,,,,,,,,,,,,,
N00060,Cisco Catalyst 2960 series switch,WS-C2960-24TT,,5999,1,,,,,,,,,,,,,,,
N00060,HP Power Supply ESP113 Series,PS-3381-1C1,194989-002,5999,4,,,,,,,,,,,,,,,
N00060,DELL CMN 1012 switch,520-377-514,,5999,2,,,,,,,,,,,,,,,
N00060,HP Server Fan,,389537-001,5999,20,,,,,,,,,,,,,,,
N00060,HP CONSOLE TFT7600 G2,HSTNR-D002,,5999,1,,,,,,,,,,,,,,,
N00060,HP Power Supply,HSTNS-PL18,506821-001,5999,7,,,,,,,,,,,,,,,
